638 -2.34078  1269.24 20
639 3.65244  1268.11 20
640 -2.79525  1272.83 20
641 3.32239  1269.14 20
642 -3.04319  1256.84 20
643 -3.14058  1250.81 20
644 3.19591  1244.2 20
645 -2.61575  1246.52 20
646 4.33629  1263.53 20
647 -2.78813  1267.86 20
648 3.28981  1264.36 20
649 -3.24005  1255.57 20
650 -2.8705  1256.82 20
651 -3.0622  1255.47 20
652 4.76649  1240.01 20
653 -3.19187  1272.29 20
654 -3.01172  1261.78 20
655 3.31046  1243.83 20
656 2.47001  1263.8 20
657 3.12636  1260.13 20
658 2.39066  1282.29 20
659 -3.30231  1273.89 20
660 4.0978  1260.81 20
661 -3.97681  1253.84 20
662 -3.25582  1251.3 20
663 2.98899  1254.31 20
664 -3.61788  1253.54 20
665 -2.89261  1252.29 20
666 3.01877  1251.67 20
667 -2.84683  1255.42 20
668 -3.04243  1278.77 20
669 3.6756  1321.96 20
670 -3.26479  1346.77 20
671 -2.53682  1364.58 20
672 -2.90984  1361.39 20
673 2.27393  1361.5 20
674 3.24141  1354.53 20
675 2.97804  1364.11 20
676 -3.52015  1335.3 20
677 2.98583  1330.83 20
678 2.83562  1345.86 20
679 3.34748  1343.16 20
680 -3.4336  1337.58 20
681 -2.70359  1332.57 20
682 -2.51227  1338.94 20
683 -3.04288  1305.08 20
684 2.62988  1300.57 20
685 3.34633  1290.55 20
686 -2.65422  1297.5 20
687 -2.77822  1310.27 20
688 4.28823  1292.95 20
689 -3.28105  1313.04 20
690 -2.86388  1322.68 20
691 3.29325  1323.47 20
692 3.15291  1313.41 20
693 -3.37211  1314.47 20
694 3.62806  1312.27 20
695 3.60217  1308.93 20
696 -4.07295  1281.09 20
697 3.27648  1288.07 20
698 -3.10365  1291.18 20
699 -3.50962  1292.51 20
700 3.49403  1277.78 20
701 2.78221  1292.87 20
702 -4.21362  1284.6 20
703 2.76134  1291.61 20
704 3.06275  1301 20
705 3.68807  1299.54 20
706 -2.83128  1306.75 20
707 -3.46927  1267.75 20
708 3.78088  1271.88 20
709 -2.66821  1284.23 20
710 3.12356  1281 20
711 -3.32382  1278.28 20
712 3.47138  1274.26 20
713 -3.59314  1273.28 20
714 -3.0763  1238.18 20
715 2.58551  1235.29 20
716 2.98442  1241.64 20
717 3.50479  1224.86 20
718 -2.66042  1225.87 20
719 -3.2585  1207.95 20
720 3.36132  1205.68 20
721 3.64093  1201.98 20
722 -3.19342  1204.36 20
723 2.96104  1204.94 20
724 -2.99911  1194.17 20
725 -2.78215  1177.28 20
726 3.06676  1170.76 20
727 -2.4532  1177.66 20
728 -2.96744  1166.82 20
729 3.20164  1150.83 20
730 -3.72758  1103.54 20
731 4.52129  1081.86 20
732 -2.64082  1079.21 20
733 -2.7187  1075.23 20
734 -2.31922  1077.16 20
735 2.56667  1072.08 20
736 -2.6805  1071.07 20
737 2.82995  1074.14 20
738 4.03897  1068.51 20
739 -3.54734  1068.84 20
740 2.50949  1059.89 20
741 3.47865  1065.8 20
742 -2.49302  1063.64 20
743 -2.64931  1056.12 20
744 2.61454  1046.48 20
745 2.55171  1051.04 20
746 2.79074  1043.9 20
747 -2.57635  1049.94 20
748 -3.90291  1035.02 20
749 -2.88228  1030.74 20
750 2.35518  1029.5 20
751 -2.17854  1031.08 20
752 2.96789  1018.66 20
753 2.37702  1026.82 20
754 -2.48302  1020.24 20
755 -2.95061  1023.03 20
756 3.3381  1026.61 20
757 -2.35364  1055.66 20
758 -2.89021  1044.89 20
759 3.37104  1039.9 20
760 -2.78325  1030.42 20
761 2.49119  1033.09 20
762 3.03768  1012.16 20
763 3.05604  1009.91 20
764 -3.15273  1014.33 20
765 3.80462  1003.67 20
766 -3.40068  1012.27 20
767 -3.10806  1014.3 20
768 3.54716  1020.38 20
769 3.39822  1026.56 20
770 2.68587  1016.04 20
771 -3.47999  1006.82 20
772 -2.87342  1012.72 20
773 3.2799  1002.08 20
774 3.24043  1005.09 20
775 2.57125  1007.66 20
776 2.68283  1011.93 20
777 -3.27777  998.902 20
778 -2.44275  1005.72 20
779 2.83479  1008.47 20
780 -2.81463  1007.23 20
781 2.37379  1017.85 20
782 2.57976  1014.37 20
783 -2.41938  1018.49 20
784 -2.48157  1029.32 20
785 3.46934  1028.59 20
786 3.11877  1036.25 20
787 -3.68641  1043.21 20
788 2.99338  1047.89 20
789 -2.79697  1048.9 20
790 3.96329  1043.27 20
791 -2.43774  1065.83 20
792 -2.64907  1080.06 20
793 2.69914  1088.4 20
794 -2.70471  1086.46 20
795 2.41595  1095.64 20
796 3.83077  1094.2 20
797 -3.87875  1078.84 20
